Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,USD Coin,USDC,"Jul 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,243,487,902 ","$55,805,558,926 "
2,USD Coin,USDC,"Jul 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,032,411,793 ","$55,819,676,986 "
3,USD Coin,USDC,"Jul 03, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$3,614,447,154 ","$55,823,349,221 "
4,USD Coin,USDC,"Jul 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$3,973,778,503 ","$55,800,988,591 "
5,USD Coin,USDC,"Jul 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,311,122,206 ","$55,812,506,573 "
6,USD Coin,USDC,"Jun 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,219,514,116 ","$55,797,830,064 "
7,USD Coin,USDC,"Jun 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,094,612,628 ","$55,822,963,265 "
8,USD Coin,USDC,"Jun 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,237,935,225 ","$55,810,439,382 "
9,USD Coin,USDC,"Jun 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,977,297,459 ","$55,811,850,973 "
10,USD Coin,USDC,"Jun 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,243,270,528 ","$55,876,331,533 "
11,USD Coin,USDC,"Jun 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,411,506,544 ","$55,887,416,457 "
12,USD Coin,USDC,"Jun 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,032,854,948 ","$55,790,164,169 "
13,USD Coin,USDC,"Jun 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,598,601,365 ","$55,699,388,576 "
14,USD Coin,USDC,"Jun 22, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$4,567,777,097 ","$55,869,774,140 "
15,USD Coin,USDC,"Jun 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,898,540,814 ","$55,824,727,401 "
16,USD Coin,USDC,"Jun 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,394,231,917 ","$55,744,749,203 "
17,USD Coin,USDC,"Jun 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,073,489,273 ","$55,900,557,577 "
18,USD Coin,USDC,"Jun 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$7,168,140,282 ","$55,376,383,865 "
19,USD Coin,USDC,"Jun 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,283,451,774 ","$55,096,486,738 "
20,USD Coin,USDC,"Jun 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,216,714,654 ","$54,600,368,574 "
21,USD Coin,USDC,"Jun 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$10,865,090,032 ","$54,285,391,404 "
22,USD Coin,USDC,"Jun 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$9,261,666,900 ","$54,112,329,915 "
23,USD Coin,USDC,"Jun 13, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$13,815,639,937 ","$54,295,283,678 "
24,USD Coin,USDC,"Jun 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,008,997,676 ","$53,994,300,101 "
25,USD Coin,USDC,"Jun 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,801,662,884 ","$53,849,159,414 "
26,USD Coin,USDC,"Jun 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,483,108,536 ","$53,876,437,573 "
27,USD Coin,USDC,"Jun 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,391,661,643 ","$53,858,822,348 "
28,USD Coin,USDC,"Jun 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,466,105,669 ","$53,788,697,783 "
29,USD Coin,USDC,"Jun 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,926,284,249 ","$53,852,349,678 "
30,USD Coin,USDC,"Jun 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,623,471,415 ","$53,715,354,692 "
31,USD Coin,USDC,"Jun 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,227,635,578 ","$54,094,982,708 "
32,USD Coin,USDC,"Jun 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,190,396,150 ","$54,082,579,266 "
33,USD Coin,USDC,"Jun 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,266,590,882 ","$54,022,580,108 "
34,USD Coin,USDC,"Jun 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,994,899,697 ","$54,096,133,447 "
35,USD Coin,USDC,"Jun 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,158,677,984 ","$54,048,575,673 "
36,USD Coin,USDC,"May 31, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,896,228,360 ","$53,918,517,204 "
37,USD Coin,USDC,"May 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,484,139,842 ","$53,758,684,527 "
38,USD Coin,USDC,"May 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,972,282,488 ","$53,728,403,269 "
39,USD Coin,USDC,"May 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,367,920,911 ","$53,699,047,372 "
40,USD Coin,USDC,"May 27, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$6,832,701,659 ","$53,562,595,190 "
41,USD Coin,USDC,"May 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,850,921,932 ","$53,197,144,152 "
42,USD Coin,USDC,"May 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,580,073,336 ","$53,419,227,604 "
43,USD Coin,USDC,"May 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,616,931,095 ","$53,292,785,642 "
44,USD Coin,USDC,"May 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,594,245,864 ","$53,322,677,857 "
45,USD Coin,USDC,"May 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,493,584,223 ","$53,139,292,857 "
46,USD Coin,USDC,"May 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,085,866,979 ","$53,061,574,511 "
47,USD Coin,USDC,"May 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,519,038,708 ","$52,925,462,320 "
48,USD Coin,USDC,"May 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,580,258,237 ","$52,731,228,912 "
49,USD Coin,USDC,"May 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,791,540,700 ","$52,254,317,671 "
50,USD Coin,USDC,"May 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,271,575,140 ","$52,257,410,413 "
51,USD Coin,USDC,"May 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,650,512,579 ","$52,005,779,140 "
52,USD Coin,USDC,"May 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,610,661,832 ","$51,148,192,672 "
53,USD Coin,USDC,"May 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,734,214,071 ","$51,108,110,210 "
54,USD Coin,USDC,"May 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$8,025,797,259 ","$50,579,540,928 "
55,USD Coin,USDC,"May 12, 2022",$1.00 ,$1.01 ,$1.00 ,$1.00 ,"$18,612,052,637 ","$49,597,238,718 "
56,USD Coin,USDC,"May 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$15,143,285,239 ","$49,009,770,947 "
57,USD Coin,USDC,"May 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$8,611,992,228 ","$48,444,732,861 "
58,USD Coin,USDC,"May 09, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$8,493,986,111 ","$48,710,396,542 "
59,USD Coin,USDC,"May 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,432,001,418 ","$48,681,199,305 "
60,USD Coin,USDC,"May 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,623,126,811 ","$48,561,122,684 "
61,USD Coin,USDC,"May 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,376,284,197 ","$48,818,135,775 "
62,USD Coin,USDC,"May 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$5,202,645,491 ","$48,847,546,127 "
63,USD Coin,USDC,"May 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,446,134,900 ","$48,922,769,160 "
64,USD Coin,USDC,"May 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,691,702,287 ","$49,044,522,714 "
65,USD Coin,USDC,"May 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,902,762,410 ","$49,153,599,585 "
66,USD Coin,USDC,"May 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,757,508,036 ","$49,298,296,907 "
67,USD Coin,USDC,"Apr 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,824,993,132 ","$49,363,696,085 "
68,USD Coin,USDC,"Apr 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,076,411,418 ","$49,380,238,149 "
69,USD Coin,USDC,"Apr 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,611,631,886 ","$49,454,880,906 "
70,USD Coin,USDC,"Apr 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,849,488,651 ","$49,570,925,341 "
71,USD Coin,USDC,"Apr 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,221,564,998 ","$49,496,598,056 "
72,USD Coin,USDC,"Apr 25, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$4,720,363,070 ","$49,903,250,953 "
73,USD Coin,USDC,"Apr 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$2,649,077,080 ","$49,890,528,150 "
74,USD Coin,USDC,"Apr 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,324,060,694 ","$49,892,540,348 "
75,USD Coin,USDC,"Apr 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,882,678,798 ","$49,902,262,355 "
76,USD Coin,USDC,"Apr 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,474,827,385 ","$49,906,402,633 "
77,USD Coin,USDC,"Apr 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,170,091,755 ","$49,884,716,882 "
78,USD Coin,USDC,"Apr 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,629,844,066 ","$50,049,208,464 "
79,USD Coin,USDC,"Apr 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,013,104,508 ","$49,918,940,264 "
80,USD Coin,USDC,"Apr 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,678,573,075 ","$50,008,804,043 "
81,USD Coin,USDC,"Apr 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,152,278,186 ","$50,106,118,277 "
82,USD Coin,USDC,"Apr 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,220,618,832 ","$50,172,530,768 "
83,USD Coin,USDC,"Apr 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,957,318,706 ","$50,347,096,658 "
84,USD Coin,USDC,"Apr 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,725,782,044 ","$50,573,406,244 "
85,USD Coin,USDC,"Apr 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,605,505,010 ","$50,634,695,378 "
86,USD Coin,USDC,"Apr 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,102,389,285 ","$50,795,899,323 "
87,USD Coin,USDC,"Apr 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,315,716,300 ","$50,992,961,339 "
88,USD Coin,USDC,"Apr 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,269,317,026 ","$50,978,738,974 "
89,USD Coin,USDC,"Apr 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,965,817,036 ","$50,917,565,720 "
90,USD Coin,USDC,"Apr 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,809,231,231 ","$51,061,579,331 "
91,USD Coin,USDC,"Apr 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,849,605,363 ","$51,057,860,407 "
92,USD Coin,USDC,"Apr 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,993,328,112 ","$51,387,143,232 "
93,USD Coin,USDC,"Apr 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,217,884,092 ","$51,724,834,040 "
94,USD Coin,USDC,"Apr 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,383,196,459 ","$51,633,984,579 "
95,USD Coin,USDC,"Apr 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,174,919,496 ","$51,598,278,622 "
96,USD Coin,USDC,"Apr 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$4,910,693,133 ","$51,654,176,342 "
97,USD Coin,USDC,"Mar 31, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,965,559,497 ","$51,365,407,021 "
98,USD Coin,USDC,"Mar 30, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$4,294,916,739 ","$51,740,455,617 "
99,USD Coin,USDC,"Mar 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$4,605,087,735 ","$51,796,986,017 "
100,USD Coin,USDC,"Mar 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,736,107,595 ","$52,116,603,386 "
101,USD Coin,USDC,"Mar 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,193,250,085 ","$52,083,027,076 "
102,USD Coin,USDC,"Mar 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,351,508,897 ","$51,975,504,373 "
103,USD Coin,USDC,"Mar 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,995,768,300 ","$52,258,941,157 "
104,USD Coin,USDC,"Mar 24, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$4,794,381,206 ","$52,458,248,440 "
105,USD Coin,USDC,"Mar 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$3,777,569,857 ","$52,434,965,775 "
106,USD Coin,USDC,"Mar 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,026,123,791 ","$52,678,557,971 "
107,USD Coin,USDC,"Mar 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,371,335,656 ","$53,010,892,417 "
108,USD Coin,USDC,"Mar 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,943,598,190 ","$53,000,906,379 "
109,USD Coin,USDC,"Mar 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,958,600,262 ","$52,900,449,880 "
110,USD Coin,USDC,"Mar 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,336,717,258 ","$52,848,506,643 "
111,USD Coin,USDC,"Mar 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,742,857,761 ","$52,711,355,977 "
112,USD Coin,USDC,"Mar 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,396,067,900 ","$52,406,637,826 "
113,USD Coin,USDC,"Mar 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,439,991,060 ","$52,388,465,221 "
114,USD Coin,USDC,"Mar 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,579,010,932 ","$52,457,686,952 "
115,USD Coin,USDC,"Mar 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$2,802,399,958 ","$52,427,364,798 "
116,USD Coin,USDC,"Mar 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,442,312,633 ","$52,357,594,339 "
117,USD Coin,USDC,"Mar 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,885,937,976 ","$52,466,163,975 "
118,USD Coin,USDC,"Mar 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,932,910,648 ","$52,536,559,831 "
119,USD Coin,USDC,"Mar 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,206,640,635 ","$52,430,328,413 "
120,USD Coin,USDC,"Mar 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,167,069,281 ","$52,445,992,706 "
121,USD Coin,USDC,"Mar 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,227,523,780 ","$52,411,937,757 "
122,USD Coin,USDC,"Mar 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,162,813,903 ","$52,838,496,192 "
123,USD Coin,USDC,"Mar 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,645,372,913 ","$52,875,394,063 "
124,USD Coin,USDC,"Mar 04, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$4,810,312,635 ","$52,857,732,692 "
125,USD Coin,USDC,"Mar 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,923,999,317 ","$53,373,089,895 "
126,USD Coin,USDC,"Mar 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,351,706,956 ","$53,425,217,458 "
127,USD Coin,USDC,"Mar 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,617,261,430 ","$53,528,807,318 "
128,USD Coin,USDC,"Feb 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,502,186,592 ","$53,459,100,425 "
129,USD Coin,USDC,"Feb 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,352,100,239 ","$53,370,799,001 "
130,USD Coin,USDC,"Feb 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$3,262,045,031 ","$53,290,419,666 "
131,USD Coin,USDC,"Feb 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,563,465,156 ","$53,268,559,752 "
132,USD Coin,USDC,"Feb 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$9,044,960,990 ","$53,126,695,517 "
133,USD Coin,USDC,"Feb 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,088,593,001 ","$52,797,597,466 "
134,USD Coin,USDC,"Feb 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,311,028,906 ","$52,724,134,665 "
135,USD Coin,USDC,"Feb 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,035,066,514 ","$52,570,580,877 "
136,USD Coin,USDC,"Feb 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,869,319,070 ","$52,596,647,718 "
137,USD Coin,USDC,"Feb 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,094,832,701 ","$52,611,021,921 "
138,USD Coin,USDC,"Feb 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,506,445,548 ","$52,527,599,037 "
139,USD Coin,USDC,"Feb 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,964,363,431 ","$52,549,613,920 "
140,USD Coin,USDC,"Feb 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,231,224,663 ","$52,610,584,516 "
141,USD Coin,USDC,"Feb 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,303,759,191 ","$52,510,487,683 "
142,USD Coin,USDC,"Feb 14, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$2,963,505,590 ","$52,442,248,486 "
143,USD Coin,USDC,"Feb 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$2,123,450,728 ","$52,360,369,755 "
144,USD Coin,USDC,"Feb 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,817,156,195 ","$52,312,479,507 "
145,USD Coin,USDC,"Feb 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,014,217,487 ","$52,218,551,392 "
146,USD Coin,USDC,"Feb 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,195,499,895 ","$52,130,795,965 "
147,USD Coin,USDC,"Feb 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,902,479,207 ","$51,825,713,831 "
148,USD Coin,USDC,"Feb 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,736,950,599 ","$51,563,153,536 "
149,USD Coin,USDC,"Feb 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,534,437,072 ","$51,290,055,120 "
150,USD Coin,USDC,"Feb 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,185,135,025 ","$51,054,224,335 "
151,USD Coin,USDC,"Feb 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,767,688,766 ","$51,039,228,858 "
152,USD Coin,USDC,"Feb 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,446,795,900 ","$50,870,604,118 "
153,USD Coin,USDC,"Feb 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,639,131,315 ","$50,820,489,157 "
154,USD Coin,USDC,"Feb 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$2,735,917,325 ","$50,428,692,188 "
155,USD Coin,USDC,"Feb 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,093,316,095 ","$50,069,388,439 "
156,USD Coin,USDC,"Jan 31, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,977,541,960 ","$49,848,162,626 "
157,USD Coin,USDC,"Jan 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,333,906,963 ","$49,800,880,429 "
158,USD Coin,USDC,"Jan 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,941,069,881 ","$49,739,175,193 "
159,USD Coin,USDC,"Jan 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,809,047,239 ","$49,645,733,199 "
160,USD Coin,USDC,"Jan 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,023,632,111 ","$49,373,594,427 "
161,USD Coin,USDC,"Jan 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,195,373,046 ","$49,632,437,388 "
162,USD Coin,USDC,"Jan 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,146,328,235 ","$48,579,858,785 "
163,USD Coin,USDC,"Jan 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$7,468,827,146 ","$48,058,913,063 "
164,USD Coin,USDC,"Jan 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,572,234,577 ","$47,651,385,219 "
165,USD Coin,USDC,"Jan 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,945,199,430 ","$43,264,434,004 "
166,USD Coin,USDC,"Jan 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$7,940,219,543 ","$42,797,813,924 "
167,USD Coin,USDC,"Jan 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,125,580,294 ","$46,367,978,527 "
168,USD Coin,USDC,"Jan 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,239,858,099 ","$46,051,186,883 "
169,USD Coin,USDC,"Jan 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,223,501,722 ","$45,737,305,225 "
170,USD Coin,USDC,"Jan 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,025,152,126 ","$45,483,737,542 "
171,USD Coin,USDC,"Jan 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,296,999,988 ","$45,434,277,768 "
172,USD Coin,USDC,"Jan 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,837,817,560 ","$45,273,082,061 "
173,USD Coin,USDC,"Jan 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,005,995,393 ","$45,171,641,830 "
174,USD Coin,USDC,"Jan 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,601,566,982 ","$44,946,411,341 "
175,USD Coin,USDC,"Jan 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,486,307,844 ","$44,631,425,711 "
176,USD Coin,USDC,"Jan 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,645,526,457 ","$44,101,728,591 "
177,USD Coin,USDC,"Jan 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,659,945,891 ","$43,821,519,567 "
178,USD Coin,USDC,"Jan 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,921,877,299 ","$43,635,467,097 "
179,USD Coin,USDC,"Jan 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,278,836,552 ","$43,501,587,470 "
180,USD Coin,USDC,"Jan 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,710,183,601 ","$39,702,380,217 "
181,USD Coin,USDC,"Jan 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,569,272,674 ","$43,076,362,784 "
